airline,aircraft_type,raw_data
ЧукотАВИА,AN24_AN26,1 | АД 113АН-24(АН-26)(DНС-6) | АНАДЫРЬ-ПРОВИДЕНИЯ | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 13 20 2912 2603 12 2602 07 16 21 2805 12 19 21 26 2802 09 16 18 23 25 3002 07 14 16 21 23 2804 06 11 13 18 20 25 2701 08 10 15 22 24 2906 13 20 2705 10 2408 22 | по датам:57рейсов | АНЫ 1000 ПРД 1200
ЧукотАВИА,AN24_AN26,2 | АД 114АН-24(АН-26)(DНС-6) | ПРОВИДЕНИЯ-АНАДЫРЬ | по датам:57рейсов | ПРД 1240 АНЫ 1440
ЧукотАВИА,AN24_AN26,3 | АД 117АН-24(АН-26)(DНС-6) | АНАДЫРЬ-ЛАВРЕНТИЯ | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 12 2604 1802 16 2501 08 15 22 2706 13 18 20 25 2701 03 08 15 17 22 24 2901 06 13 15 20 22 27 2903 05 10 12 17 19 24 26 3102 07 09 14 16 23 28 3007 14 21 2803 11 2509 23 | по датам:60 рейсов | АНЫ 1000 ЗЛА 1210
ЧукотАВИА,AN24_AN26,4 | АД 118АН-24(АН-26)(DНС-6) | ЛАВРЕНТИЯ-АНАДЫРЬ | по датам:60 рейсов | ЗЛА 1250 АНЫ 1500
ЧукотАВИА,AN24_AN26,5 | АД 15АН-24(АН-26)(DНС-6)(МИ-8) | АНАДЫРЬ-БЕРИНГОВСКИЙ | ЯнварьФевральМартАпрельДекабрь | 15 2711 2511 3013 2901 17 | по датам:10рейсов | АНЫ 1000 БНГ 1120
ЧукотАВИА,AN24_AN26,6 | АД 16АН-24(АН-26)(DНС-6)(МИ-8) | БЕРИНГОВСКИЙ-АНАДЫРЬ | по датам:10рейсов | БНГ 1200 АНЫ 1320
ЧукотАВИА,AN24_AN26,7 | АД 25АН-24(АН-26)(DНС-6)(МИ-8) | АНАДЫРЬ-КЕПЕРВЕЕМ | ЯнварьФевральМартМайНоябрьДекабрь | 13 3009 2410 231209 2307 25 | по датам:11 рейсов | АНЫ 1000 КПМ1220
ЧукотАВИА,AN24_AN26,АпрельМайИюньИюльАвгустСентябрьОктябрь | 06 13 2004 18 2501 08 15 22 2906 13 20 2703 10 17 24 3107 14 21 2805 12 19 26 | по датам:28 рейсов | АНЫ 1500 КПМ 1720
ЧукотАВИА,AN24_AN26,8 | АД 26АН-24(АН-26)(DНС-6)(МИ-8) | КЕПЕРВЕЕМ-АНАДЫРЬ | ЯнварьФевральМартМайНоябрьДекабрь | 16 3009 2410 231209 2307 25 | по датам:11 рейсов | КПМ 1300 АНЫ 1520
ЧукотАВИА,AN24_AN26,АпрельМайИюньИюльАвгустСентябрьОктябрь | 07 14 2105 19 2602 09 16 23 3007 14 21 2804 11 18 2501 08 15 22 2906 13 20 27 | по датам:28 рейсов | КПМ 1000 АНЫ 1220
ЧукотАВИА,AN24_AN26,9 | АД 21АН-24(АН-26)(DНС-6) | АНАДЫРЬ-ПЕВЕК | ЯнварьФевральМартАпрельМайИюньИюльАвгустСентябрьОктябрьНоябрьДекабрь | 19 2806 1904 1903 17 3014 2911 2609 2407 2103 1801 15 3012 2610 24 | по датам:26 рейсов | АНЫ 1000 ПЕВ 1220
ЧукотАВИА,AN24_AN26,10 | АД 22АН-24(АН-26)(DНС-6) | ПЕВЕК-АНАДЫРЬ | по датам:26 рейсов | ПЕВ 1300 АНЫ 1520
